AAPL
MSFT
NVDA
AMZN
GOOG
GOOGL
META
BRK.B
TSLA
AVGO
LLY
WMT
JPM
V
MA
XOM
NFLX
COST
ORCL
UNH
PG
JNJ
HD
ABBV
KO
BAC
PM
PLTR
TMUS
CRM
CVX
WFC
MCD
CSCO
ABT
LIN
GE
IBM
MRK
NOW
T
MS
AXP
ISRG
ACN
PEP
GS
VZ
INTU
RTX
DIS
QCOM
UBER
BX
TMO
BKNG
ADBE
AMD
PGR
AMGN
BSX
SPGI
TXN
CAT
SCHW
TJX
DHR
BLK
SYK
NEE
BA
PFE
C
GILD
HON
UNP
VRTX
CMCSA
DE
LOW
AMAT
ADP
PANW
COP
ETN
LMT
CB
MMC
MDT
CRWD
GEV
KKR
SO
FI
AMT
MO
ANET
BMY
ADI
PLD
CME
WELL
ELV
SBUX
ICE
DUK
KLAC
APH
WM
LRCX
CI
MU
INTC
MCK
NKE
MDLZ
CTAS
UPS
SHW
CVS
AJG
EQIX
HCA
CDNS
MCO
DASH
FTNT
TT
TDG
PH
ORLY
ABNB
CL
APO
RSG
MMM
GD
AON
WMB
MSI
ITW
COF
CEG
CMG
SNPS
ZTS
NOC
ECL
DELL
MAR
REGN
WDAY
PYPL
PNC
EOG
USB
AZO
NEM
ROP
KMI
APD
EMR
CHTR
SPG
AFL
BDX
CPRT
TRV
ADSK
MNST
RCL
AEP
BK
COR
HWM
DLR
FCX
JCI
HLT
CSX
CARR
OKE
PAYX
MET
PSA
ALL
O
FDX
NSC
TFC
NXPI
GWW
SRE
PCAR
FICO
AIG
SLB
KDP
EXC
DFS
FAST
AXON
KR
ROST
GM
D
EW
AMP
KVUE
TGT
KMB
CCI
NDAQ
VST
TEL
MPC
PWR
PSX
CTVA
FIS
MSCI
URI
YUM
HES
PEG
LHX
CMI
VRSK
FANG
F
XEL
ED
TTWO
OXY
TRGP
AME
GRMN
DHI
EA
GLW
PCG
OTIS
PRU
ETR
BKR
VLO
CTSH
CBRE
IDXX
KHC
SYY
RMD
WEC
VICI
CSGP
ACGL
HIG
CAH
HSY
STZ
BRO
VMC
LULU
IT
HUM
EFX
EBAY
WAB
GEHC
EXR
ODFL
GIS
LYV
TPL
MLM
A
IR
EQT
VTR
WTW
AVB
CNC
K
LEN
XYL
RJF
ANSS
DXCM
ROK
AWK
DTE
MPWR
BR
DD
MTB
DAL
TKO
EQR
ROL
WRB
NUE
PPL
AEE
TSCO
IQV
STT
GDDY
IRM
VRSN
LVS
MCHP
ATO
IP
CNP
KEYS
EXE
CHD
FE
CCL
SBAC
HPQ
FITB
FTV
DRI
PPG
DOV
ADM
VLTO
CPAY
TYL
FOXA
CBOE
EIX
UAL
MTD
STE
SW
SMCI
TSN
CMS
FOX
TDY
NRG
EL
HPE
WBD
ES
DOW
HBAN
CINF
NVR
CDW
INVH
EXPE
DG
PHM
DVN
WAT
ZBH
MKC
TROW
SYF
IFF
DGX
CTRA
HUBB
MAA
LYB
LH
STLD
ERIE
LII
LDOS
WSM
NI
PTC
ESS
PODD
RF
WY
NTAP
HAL
L
GPN
NTRS
STX
BIIB
ULTA
DLTR
MOH
CLX
EG
ON
DPZ
DECK
PFG
PKG
KEY
HRL
CFG
GPC
COO
SNA
NWS
FDS
BF.B
JBL
EVRG
LNT
FFIV
GEN
BAX
WST
NWSA
FSLR
LUV
TRMB
UDR
EXPD
J
PNR
OMC
BBY
BALL
TPR
WDC
KIM
BLDR
AMCR
RL
AVY
ALGN
ARE
IEX
CF
HOLX
REG
PAYC
JBHT
APTV
MAS
DOC
ZBRA
CPT
JKHY
TER
TXT
SJM
JNPR
ALLE
CAG
AKAM
BXP
TAP
INCY
SOLV
RVTY
UHS
PNW
DVA
POOL
BG
CPB
NDSN
CHRW
MRNA
GL
KMX
BEN
HST
AIZ
VTRS
LKQ
WBA
SWK
SWKS
AOS
MOS
DAY
IPG
EPAM
MGM
HII
EMN
WYNN
HAS
MKTX
FRT
HSIC
TECH
PARA
NCLH
MTCH
LW
AES
ALB
GNRC
MHK
IVZ
ENPH
CZR
APA
CRL
